Name,sim_type,N,h,d,reg_param,rho_r,alpha,phi_c,theta,eta_f,t_step
Ive_comp_10_6_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,10.6,3.99732836365627e-05,1
Ive_comp_10_7_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,10.7,3.99732836365627e-05,1
Ive_comp_10_8_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,10.8,3.99732836365627e-05,1
Ive_comp_10_9_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,10.9,3.99732836365627e-05,1
Ive_comp_4_deep_8_7_start.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,4,3.99732836365627e-05,1
Ive_comp_4_deep_8_8_start.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,4,3.99732836365627e-05,1
Ive_comp_4_deep_8_9_start.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,4,3.99732836365627e-05,1
Ive_comp_4_deep_9_6_start.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,4,3.99732836365627e-05,1
Ive_comp_4_deep_9_7_start.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,4,3.99732836365627e-05,1
Ive_comp_4_deep_9_8_start.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,4,3.99732836365627e-05,1
